stamp,ax,ay,az,gx,gy,gz,px,py,pz,vx,vy,vz,qw,qx,qy,qz,bw_x,bw_y,bw_z,ba_x,ba_y,ba_z
1782727127.562107325,-4.496706475,-0.139200020,8.840542416,0.024220783,0.001553846,-0.011675671,-0.009945803,0.000259964,-0.001479774,0.000862508,-0.003874298,-0.002574361,0.973187904,-0.004047123,0.229969120,0.001768902,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.567815781,-4.225361862,0.043297242,8.845344975,0.021024991,-0.002707212,-0.015936732,-0.009939921,0.000238201,-0.001493496,0.001198326,-0.003750553,-0.002233289,0.973184827,-0.004022404,0.229982826,0.001735885,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.571780443,-4.335820731,-0.062359067,8.559592684,0.017829198,-0.003772477,-0.013806202,-0.009934637,0.000223795,-0.001503153,0.001467008,-0.003516993,-0.002638247,0.973183881,-0.004011878,0.229987188,0.001712377,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.577628851,-4.523120552,-0.059957788,8.658045154,0.016763929,-0.010164063,-0.013806202,-0.009927889,0.000203332,-0.001520616,0.000840659,-0.003480692,-0.003333470,0.973184962,-0.004001678,0.229983013,0.001682208,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.582058907,-4.520719273,-0.055155228,8.766102743,0.014633399,-0.019751444,-0.011675671,-0.009925578,0.000188016,-0.001535238,0.000202827,-0.003433905,-0.003267868,0.973189832,-0.003996824,0.229962632,0.001662537,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.587551832,-4.734433171,0.057704921,8.878962892,0.023155522,-0.003772477,-0.008479878,-0.009927325,0.000170209,-0.001550768,-0.000838953,-0.003049576,-0.002386496,0.973193874,-0.003980595,0.229945946,0.001643211,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.592073679,-4.609566624,0.153756120,8.953402564,0.018894460,-0.000576683,-0.007414613,-0.009933039,0.000158207,-0.001558866,-0.001688329,-0.002258954,-0.001195621,0.973192228,-0.003961476,0.229953333,0.001630795,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.597732544,-4.463088559,0.225794513,8.816529618,0.008241814,-0.004837741,-0.005284086,-0.009943886,0.000149567,-0.001562844,-0.002145250,-0.000794721,-0.000210196,0.973190423,-0.003957041,0.229961093,0.001624515,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.601955175,-4.263782339,0.225794513,8.857351374,0.014633399,-0.001641948,0.006433826,-0.009952478,0.000148837,-0.001563254,-0.001924500,0.000448859,0.000015959,0.973189292,-0.003954745,0.229965840,0.001635095,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.607844114,-4.362234809,0.156157400,8.713274588,0.013568137,-0.001641948,0.016021203,-0.009962517,0.000155967,-0.001563419,-0.001484895,0.001972834,-0.000071933,0.973186613,-0.003936706,0.229977175,0.001678554,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.612133980,-4.309406654,0.192176596,8.504363249,0.002915494,-0.015490387,0.006433826,-0.009969115,0.000166641,-0.001565222,-0.001591287,0.003003616,-0.000768662,0.973188026,-0.003935771,0.229970958,0.001713160,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.617930651,-4.282992577,0.019284444,8.701268190,-0.008802418,-0.015490387,0.008564353,-0.009978210,0.000186947,-0.001572787,-0.001546501,0.004002250,-0.001841353,0.973194438,-0.003968507,0.229942926,0.001756940,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.621999741,-4.458285999,-0.136798740,8.732484826,-0.004541360,-0.013359858,0.001107503,-0.009984563,0.000203308,-0.001580682,-0.001576135,0.004039387,-0.002039124,0.973198418,-0.004000119,0.229925323,0.001784135,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.627783298,-4.386247606,-0.232849921,8.730083547,-0.008802418,-0.008033535,-0.003153555,-0.009994458,0.000224729,-0.001592671,-0.001845758,0.003368097,-0.002106950,0.973201624,-0.004048965,0.229910728,0.001806256,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.632035732,-4.225361862,-0.283276796,8.890969291,0.001850229,-0.001641948,0.000042237,-0.010001462,0.000237352,-0.001601563,-0.001448494,0.002569004,-0.002074877,0.973201144,-0.004078550,0.229912127,0.001819806,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.637781382,-4.098094035,-0.328901130,8.665248993,0.011437606,0.001553846,0.002172768,-0.010006346,0.000248220,-0.001614897,-0.000251465,0.001213778,-0.002566627,0.973197434,-0.004088495,0.229927504,0.001838819,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.642104626,-4.302202815,-0.386531844,8.636433636,0.012502875,-0.000576683,-0.004218820,-0.010006335,0.000250768,-0.001627692,0.000256782,-0.000034603,-0.003352753,0.973194433,-0.004085835,0.229940197,0.001845992,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.647844315,-4.431871922,-0.386531844,8.806924499,0.017829198,-0.002707212,-0.009545140,-0.010004854,0.000245342,-0.001647654,0.000259030,-0.001856150,-0.003602989,0.973191922,-0.004077232,0.229951046,0.001837066,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.652165174,-4.477496237,-0.244856320,8.715675868,0.021024991,0.000488581,-0.009545140,-0.010004300,0.000235021,-0.001662937,-0.000002212,-0.002921363,-0.003470963,0.973189816,-0.004063122,0.229960326,0.001822627,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
1782727127.657834530,-4.595158945,-0.136798740,8.739688666,0.025286045,0.001553846,-0.017001994,-0.010006704,0.000216491,-0.001682034,-0.000846031,-0.003615559,-0.003265979,0.973185724,-0.004036764,0.229978357,0.001790940,0.011530174,-0.005529360,-0.004561726,0.000000005,-0.000000000,0.000000003
